Instrument,Total Assets,Date
DK0060534915,4031137058.66,2000-12-31T00:00:00Z
DK0060534915,4583343319.35291,2001-12-31T00:00:00Z
DK0060534915,,2002-12-31T00:00:00Z
DK0060534915,5390995861.13692,2003-12-31T00:00:00Z
DK0060534915,6827973660.68986,2004-12-31T00:00:00Z
DK0060534915,6663173105.93429,2005-12-31T00:00:00Z
DK0060534915,7928854734.75459,2006-12-31T00:00:00Z
DK0060534915,9344361785.43461,2007-12-31T00:00:00Z
DK0060534915,9505945560.08491,2008-12-31T00:00:00Z
DK0060534915,10533992726.1531,2009-12-31T00:00:00Z
DK0060534915,11023302574.4138,2010-12-31T00:00:00Z
DK0060534915,11265540658.1926,2011-12-31T00:00:00Z
DK0060534915,11620363816.5345,2012-12-31T00:00:00Z
DK0060534915,12962478345.8037,2013-12-31T00:00:00Z
DK0060534915,12520837733.7644,2014-12-31T00:00:00Z
DK0060534915,13358799732.239,2015-12-31T00:00:00Z
DK0060534915,13808290155.4404,2016-12-31T00:00:00Z
DK0060534915,16497961025.7733,2017-12-31T00:00:00Z
DK0060534915,17013377977.7904,2018-12-31T00:00:00Z
DK0060534915,18854998498.9493,2019-12-31T00:00:00Z
DK0060534915,23787341605.9353,2020-12-31T00:00:00Z
DK0060534915,29739010778.9924,2021-12-31T00:00:00Z
DK0060534915,34729727784.4156,2022-12-31T00:00:00Z
DK0015250344,2732327444.58766,2000-12-31T00:00:00Z
DK0015250344,2142240862.79209,2001-12-31T00:00:00Z
DK0015250344,3220605083.3793,2002-12-31T00:00:00Z
DK0015250344,3726159303.99527,2003-12-31T00:00:00Z
DK0015250344,6614377177.46201,2004-12-31T00:00:00Z
DK0015250344,6756864052.84805,2005-12-31T00:00:00Z
DK0015250344,7612437141.44061,2006-12-31T00:00:00Z
DK0015250344,9374706342.99139,2007-12-31T00:00:00Z
DK0015250344,8599365055.51068,2008-12-31T00:00:00Z
DK0015250344,9140031173.62942,2009-12-31T00:00:00Z
DK0015250344,8644034325.51793,2010-12-31T00:00:00Z
DK0015250344,7820477102.55964,2011-12-31T00:00:00Z
DK0015250344,7530966874.29219,2012-12-31T00:00:00Z
DK0015250344,7294239062.32723,2013-12-31T00:00:00Z
DK0015250344,6349294035.45258,2014-12-31T00:00:00Z
DK0015250344,5105067085.77083,2015-12-31T00:00:00Z
DK0015250344,4934879243.46669,2016-12-31T00:00:00Z
DK0015250344,5585661095.08228,2017-12-31T00:00:00Z
DK0015250344,5993979142.02774,2018-12-31T00:00:00Z
DK0015250344,6274091864.30501,2019-12-31T00:00:00Z
DK0015250344,5380474033.22172,2020-12-31T00:00:00Z
DK0015250344,6457457380.93418,2021-12-31T00:00:00Z
DK0015250344,5307412152.53286,2022-12-31T00:00:00Z
DK0010274414,172199686607.526,2000-12-31T00:00:00Z
DK0010274414,184371719592.57,2001-12-31T00:00:00Z
DK0010274414,247740908898.035,2002-12-31T00:00:00Z
DK0010274414,308494636371.315,2003-12-31T00:00:00Z
DK0010274414,374387939368.513,2004-12-31T00:00:00Z
DK0010274414,386195353564.226,2005-12-31T00:00:00Z
DK0010274414,485048693250.23,2006-12-31T00:00:00Z
DK0010274414,655741973375.098,2007-12-31T00:00:00Z
DK0010274414,665747562602.145,2008-12-31T00:00:00Z
DK0010274414,596239344199.203,2009-12-31T00:00:00Z
DK0010274414,576978564503.968,2010-12-31T00:00:00Z
DK0010274414,596274246909.281,2011-12-31T00:00:00Z
DK0010274414,616674157701.019,2012-12-31T00:00:00Z
DK0010274414,594717666138.366,2013-12-31T00:00:00Z
DK0010274414,561037093603.263,2014-12-31T00:00:00Z
DK0010274414,479187112546.931,2015-12-31T00:00:00Z
DK0010274414,493172230244.344,2016-12-31T00:00:00Z
