Instrument,Company Common Name,Date,Short-Term Debt & Current Portion of Long-Term Debt,Debt - Non-Convertible - Long-Term,Capitalized Lease Obligations - Long-Term,Current Portion of Long-Term Debt excl Capitalized Leases,Capitalized Leases - Current Portion,NAICS Sector Code,NAICS Sector Name,NAICS Subsector Code,NAICS Subsector Name,NAICS National Industry Code,NAICS National Industry Name,NAICS Industry Group Code,NAICS Industry Group Name,Country of Exchange,Exchange Name
DK0060534915,Novo Nordisk A/S,1989-12-31T00:00:00Z,,,,,,31-33,Manufacturing,325,Chemical Manufacturing,325412,Pharmaceutical Preparation Manufacturing,3254,Pharmaceutical and Medicine Manufacturing,Denmark,NASDAQ COPENHAGEN A/S
DK0060534915,,1990-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0060534915,,1991-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0060534915,,1992-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0060534915,,1993-12-31T00:00:00Z,957000000.0,3333000000.0,,,,,,,,,,,,,
DK0060534915,,1994-12-31T00:00:00Z,1447000000.0,3109000000.0,,,,,,,,,,,,,
DK0060534915,,1995-12-31T00:00:00Z,1451000000.0,1322000000.0,,,,,,,,,,,,,
DK0060534915,,1996-12-31T00:00:00Z,1349000000.0,944000000.0,,,,,,,,,,,,,
DK0060534915,,1997-12-31T00:00:00Z,1336000000.0,1758000000.0,,,,,,,,,,,,,
DK0060534915,,1998-12-31T00:00:00Z,923000000.0,1835000000.0,,,,,,,,,,,,,
DK0060534915,,1999-12-31T00:00:00Z,1032000000.0,1007000000.0,,,,,,,,,,,,,
DK0060534915,,2000-12-31T00:00:00Z,860000000.0,950000000.0,,,,,,,,,,,,,
DK0060534915,,2001-12-31T00:00:00Z,833000000.0,863000000.0,,,,,,,,,,,,,
DK0060534915,,2002-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0060534915,,2003-12-31T00:00:00Z,975000000.0,753000000.0,,,,,,,,,,,,,
DK0060534915,,2004-12-31T00:00:00Z,507000000.0,1188000000.0,,,,,,,,,,,,,
DK0060534915,,2005-12-31T00:00:00Z,845000000.0,1248000000.0,,,,,,,,,,,,,
DK0060534915,,2006-12-31T00:00:00Z,297000000.0,1174000000.0,,,,,,,,,,,,,
DK0060534915,,2007-12-31T00:00:00Z,360000000.0,961000000.0,,,,,,,,,,,,,
DK0060534915,,2008-12-31T00:00:00Z,55000000.0,980000000.0,,,,,,,,,,,,,
DK0060534915,,2009-12-31T00:00:00Z,263000000.0,970000000.0,,,,,,,,,,,,,
DK0060534915,,2010-12-31T00:00:00Z,562000000.0,504000000.0,,,,,,,,,,,,,
DK0060534915,,2011-12-31T00:00:00Z,351000000.0,502000000.0,,,,,,,,,,,,,
DK0060534915,,2012-12-31T00:00:00Z,1000000000.0,0.0,,500000000.0,,,,,,,,,,,
DK0060534915,,2013-12-31T00:00:00Z,215000000.0,,,,,,,,,,,,,,
DK0060534915,,2014-12-31T00:00:00Z,720000000.0,,,,,,,,,,,,,,
