Instrument,Date,Operating Profit before Non-Recurring Income/Expense
DK0060534915,2000-12-31T00:00:00Z,679785180
DK0060534915,2001-12-31T00:00:00Z,765569139.3
DK0060534915,2002-12-31T00:00:00Z,754804329.6
DK0060534915,2003-12-31T00:00:00Z,1142908412
DK0060534915,2004-12-31T00:00:00Z,1121728704
DK0060534915,2005-12-31T00:00:00Z,1096680300
DK0060534915,2006-12-31T00:00:00Z,1536809347
DK0060534915,2007-12-31T00:00:00Z,1889970112
DK0060534915,2008-12-31T00:00:00Z,2441612837
DK0060534915,2009-12-31T00:00:00Z,2797579026
DK0060534915,2010-12-31T00:00:00Z,3367580961
DK0060534915,2011-12-31T00:00:00Z,4182670843
DK0060534915,2012-12-31T00:00:00Z,5093552893
DK0060534915,2013-12-31T00:00:00Z,5636535733
DK0060534915,2014-12-31T00:00:00Z,6261074859
DK0060534915,2015-12-31T00:00:00Z,6990255635
DK0060534915,2016-12-31T00:00:00Z,7280833057
DK0060534915,2017-12-31T00:00:00Z,7488008021
DK0060534915,2018-12-31T00:00:00Z,7484736136
DK0060534915,2019-12-31T00:00:00Z,8049258262
DK0060534915,2020-12-31T00:00:00Z,8363712553
DK0060534915,2021-12-31T00:00:00Z,9442948040
DK0060534915,2022-12-31T00:00:00Z,10711240624
DK0015250344,2000-12-31T00:00:00Z,53455101.73
DK0015250344,2001-12-31T00:00:00Z,-136395193.1
DK0015250344,2002-12-31T00:00:00Z,29290534.13
DK0015250344,2003-12-31T00:00:00Z,79872500.38
DK0015250344,2004-12-31T00:00:00Z,106186304
DK0015250344,2005-12-31T00:00:00Z,101429977.4
DK0015250344,2006-12-31T00:00:00Z,362672849.6
DK0015250344,2007-12-31T00:00:00Z,464254857.6
DK0015250344,2008-12-31T00:00:00Z,452684057.9
DK0015250344,2009-12-31T00:00:00Z,-67817826.79
DK0015250344,2010-12-31T00:00:00Z,68453289.35
DK0015250344,2011-12-31T00:00:00Z,6729961.131
DK0015250344,2012-12-31T00:00:00Z,142226845
DK0015250344,2013-12-31T00:00:00Z,202749238.7
DK0015250344,2014-12-31T00:00:00Z,97664997.37
DK0015250344,2015-12-31T00:00:00Z,204085276
DK0015250344,2016-12-31T00:00:00Z,125177878.7
DK0015250344,2017-12-31T00:00:00Z,111076398.9
DK0015250344,2018-12-31T00:00:00Z,196933385.9
DK0015250344,2019-12-31T00:00:00Z,-13944470.66
DK0015250344,2020-12-31T00:00:00Z,118402831.4
DK0015250344,2021-12-31T00:00:00Z,135858311
DK0015250344,2022-12-31T00:00:00Z,241512143.5
DK0010274414,2000-12-31T00:00:00Z,992826193.4
DK0010274414,2001-12-31T00:00:00Z,1198690030
DK0010274414,2002-12-31T00:00:00Z,1297698012
DK0010274414,2003-12-31T00:00:00Z,1596535437
DK0010274414,2004-12-31T00:00:00Z,2121384964
DK0010274414,2005-12-31T00:00:00Z,2850900898
DK0010274414,2006-12-31T00:00:00Z,1938749285
DK0010274414,2007-12-31T00:00:00Z,2380916863
DK0010274414,2008-12-31T00:00:00Z,-32757434.01
DK0010274414,2009-12-31T00:00:00Z,1244138640
DK0010274414,2010-12-31T00:00:00Z,83605710.17
DK0010274414,2011-12-31T00:00:00Z,1375716221
DK0010274414,2012-12-31T00:00:00Z,1649865965
DK0010274414,2013-12-31T00:00:00Z,1734949109
DK0010274414,2014-12-31T00:00:00Z,3042050803
DK0010274414,2015-12-31T00:00:00Z,3194358817
DK0010274414,2016-12-31T00:00:00Z,3466327103
DK0010274414,2017-12-31T00:00:00Z,3908187388
DK0010274414,2018-12-31T00:00:00Z,3061418999
DK0010274414,2019-12-31T00:00:00Z,2047588079
DK0010274414,2020-12-31T00:00:00Z,1061642981
DK0010274414,2021-12-31T00:00:00Z,2614238437
DK0010274414,2022-12-31T00:00:00Z,-9915454.571
DK0010307958,2000-12-31T00:00:00Z,155597134.9
DK0010307958,2001-12-31T00:00:00Z,107098491.9
DK0010307958,2002-12-31T00:00:00Z,137922248.3
DK0010307958,2003-12-31T00:00:00Z,275728407.3
DK0010307958,2004-12-31T00:00:00Z,294862643.8
DK0010307958,2005-12-31T00:00:00Z,363850216.6
DK0010307958,2006-12-31T00:00:00Z,-39312759.43
DK0010307958,2007-12-31T00:00:00Z,393781632.9
DK0010307958,2008-12-31T00:00:00Z,239060990.7
DK0010307958,2009-12-31T00:00:00Z,138023140.8
DK0010307958,2010-12-31T00:00:00Z,173536753.8
DK0010307958,2011-12-31T00:00:00Z,171053178.8
DK0010307958,2012-12-31T00:00:00Z,138597727.5
DK0010307958,2013-12-31T00:00:00Z,391779943.6
DK0010307958,2014-12-31T00:00:00Z,69684332.06
DK0010307958,2015-12-31T00:00:00Z,560601859.5
DK0010307958,2016-12-31T00:00:00Z,571031154.7
DK0010307958,2017-12-31T00:00:00Z,602031043.2
DK0010307958,2018-12-31T00:00:00Z,456606611.5
DK0010307958,2019-12-31T00:00:00Z,463316283.2
DK0010307958,2020-12-31T00:00:00Z,502101528.3
DK0010307958,2021-12-31T00:00:00Z,624248258.2
DK0010307958,2022-12-31T00:00:00Z,631331157.4
DK0010160167,,
DK0015203269,,
DK0010288638,,611074910.1
DK0010288638,,308512936.7
DK0010288638,,680177142.6
DK0010288638,,764428605.8
DK0010288638,,395314051.3
DK0010288638,,414743334.4
DK0010288638,,420478048.2
DK0010288638,,
DK0010288638,,
DK0010288638,,
DK0010288638,,
DK0010288638,,
DK0010288638,,
DK0010288638,,
DK0010288638,,
DK0010288638,,
DK0010288638,,
DK0010288638,,313435714.7
DK0010288638,,226971947.7
DK0010288638,,385303078.8
DK0060477503,2000-12-31T00:00:00Z,125390041.4
DK0060477503,2001-12-31T00:00:00Z,136274915.1
DK0060477503,2002-12-31T00:00:00Z,134354406.6
DK0060477503,2003-12-31T00:00:00Z,220716375.1
DK0060477503,2004-12-31T00:00:00Z,127925232.3
DK0060477503,2005-12-31T00:00:00Z,11362831.08
DK0060477503,2006-12-31T00:00:00Z,250095961.3
DK0060477503,2007-12-31T00:00:00Z,616122525.1
DK0060477503,2008-12-31T00:00:00Z,1308521355
DK0060477503,2009-12-31T00:00:00Z,74936825.19
DK0060477503,2010-12-31T00:00:00Z,61679265.92
DK0060477503,2011-12-31T00:00:00Z,465302034.9
DK0060477503,2012-12-31T00:00:00Z,66706636.92
DK0060477503,2013-12-31T00:00:00Z,104937874.9
DK0060477503,2014-12-31T00:00:00Z,3207974.366
DK0060477503,2015-12-31T00:00:00Z,318111039.3
DK0060477503,2016-12-31T00:00:00Z,-59764260.4
DK0060477503,2017-12-31T00:00:00Z,5014392.839
DK0060477503,2018-12-31T00:00:00Z,888655962.6
DK0060477503,2019-12-31T00:00:00Z,-756150167
DK0060477503,2020-12-31T00:00:00Z,-375733694
DK0060477503,2021-12-31T00:00:00Z,387371179.6
DK0060477503,2022-12-31T00:00:00Z,200717130.4
DK0010126309,,
DK0010237056,,
DK0060228559,2000-12-31T00:00:00Z,396014245.5
DK0060228559,2001-12-31T00:00:00Z,107408207.6
DK0060228559,2002-12-31T00:00:00Z,653943012.1
DK0060228559,2003-12-31T00:00:00Z,596147612.6
DK0060228559,2004-12-31T00:00:00Z,892132175.8
DK0060228559,2005-12-31T00:00:00Z,1038195140
DK0060228559,2006-12-31T00:00:00Z,1095433793
DK0060228559,2007-12-31T00:00:00Z,794682085.8
DK0060228559,2008-12-31T00:00:00Z,224368689.6
DK0060228559,2009-12-31T00:00:00Z,267149781.8
DK0060228559,2010-12-31T00:00:00Z,43852888.49
DK0060228559,2011-12-31T00:00:00Z,1077915441
DK0060228559,2012-12-31T00:00:00Z,915228883.8
DK0060228559,2013-12-31T00:00:00Z,917003806.2
DK0060228559,2014-12-31T00:00:00Z,912312265.6
DK0060228559,2015-12-31T00:00:00Z,664802948.7
DK0060228559,2016-12-31T00:00:00Z,536094335.8
DK0060228559,2017-12-31T00:00:00Z,415586800.4
DK0060228559,2018-12-31T00:00:00Z,423177050.5
DK0060228559,2019-12-31T00:00:00Z,216664087.1
DK0060228559,2020-12-31T00:00:00Z,233742200.2
DK0060228559,2021-12-31T00:00:00Z,363826647.9
DK0060228559,2022-12-31T00:00:00Z,317294546.3
DK0010181759,2004-12-31T00:00:00Z,326418370.6
DK0010181759,2005-12-31T00:00:00Z,-4278273002
DK0010181759,2006-12-31T00:00:00Z,513337128.2
DK0010181759,2007-12-31T00:00:00Z,-3247575019
DK0010181759,2008-12-31T00:00:00Z,1070339289
DK0010181759,2009-12-31T00:00:00Z,-3253569608
DK0010181759,2010-12-31T00:00:00Z,-3347971946
DK0010181759,2011-12-31T00:00:00Z,1801386263
DK0010181759,2012-12-31T00:00:00Z,1654359159
DK0010181759,2013-12-31T00:00:00Z,1666000115
DK0010181759,2014-12-31T00:00:00Z,1554798243
DK0010181759,2015-12-31T00:00:00Z,1199652253
DK0010181759,2016-12-31T00:00:00Z,1182648486
DK0010181759,2017-12-31T00:00:00Z,1304957748
DK0010181759,2018-12-31T00:00:00Z,1455374162
DK0010181759,2019-12-31T00:00:00Z,1523545875
DK0010181759,2020-12-31T00:00:00Z,1437223502
DK0010181759,2021-12-31T00:00:00Z,1732909347
DK0010181759,2022-12-31T00:00:00Z,1536328861
DK0010207497,2001-04-30T00:00:00Z,247210896.2
DK0010207497,2002-04-30T00:00:00Z,249890229.7
DK0010207497,2003-04-30T00:00:00Z,294367496.6
DK0010207497,2004-04-30T00:00:00Z,312762561.3
DK0010207497,2005-04-30T00:00:00Z,328115080.3
DK0010207497,2006-04-30T00:00:00Z,318463432.7
DK0010207497,2007-04-30T00:00:00Z,-137106502.2
DK0010207497,2008-04-30T00:00:00Z,210352148.7
DK0010207497,2009-04-30T00:00:00Z,187419219.5
DK0010207497,2010-04-30T00:00:00Z,121358286.6
DK0010207497,2011-12-01T00:00:00Z,
DK0010207497,2012-12-01T00:00:00Z,
DK0010207497,2013-12-01T00:00:00Z,75086411.78
DK0010207497,2014-12-01T00:00:00Z,34691227.3
DK0010207497,2015-12-01T00:00:00Z,57176830.23
DK0010207497,2018-12-31T00:00:00Z,45153672.55
DK0010207497,2019-12-31T00:00:00Z,47831033.76
DK0010207497,2020-12-31T00:00:00Z,35842513
DK0010238534,2000-12-31T00:00:00Z,40333176.53
DK0010238534,2001-12-31T00:00:00Z,41423725.31
DK0010238534,2002-12-31T00:00:00Z,
DK0010238534,2003-12-31T00:00:00Z,
DK0010238534,2004-12-31T00:00:00Z,
DK0010238534,2005-12-31T00:00:00Z,
DK0010238534,2006-12-31T00:00:00Z,
DK0010238534,2007-12-31T00:00:00Z,
DK0010238534,2008-12-31T00:00:00Z,
DK0010238534,2009-12-31T00:00:00Z,
DK0010238534,2010-12-31T00:00:00Z,
DK0010238534,2011-12-31T00:00:00Z,
DK0010238534,2012-12-31T00:00:00Z,
DK0010238534,2013-12-31T00:00:00Z,
DK0010238534,2014-12-01T00:00:00Z,1545826.709
DK0010238534,2017-12-31T00:00:00Z,3418904.208
DK0010238534,2018-12-31T00:00:00Z,
DK0010238534,2019-12-31T00:00:00Z,
DK0010238534,2020-12-31T00:00:00Z,4918389.284
DK0010267046,2000-12-31T00:00:00Z,179961375
DK0010267046,2001-12-31T00:00:00Z,193527218.4
DK0010267046,2002-12-31T00:00:00Z,256610549
DK0010267046,2003-12-31T00:00:00Z,298302449
DK0010267046,2004-12-31T00:00:00Z,372571787.8
DK0010267046,2005-12-01T00:00:00Z,
DK0010267046,2006-12-01T00:00:00Z,
DK0010267046,2007-12-01T00:00:00Z,
DK0010267046,2008-12-01T00:00:00Z,
DK0010267046,2009-12-01T00:00:00Z,
DK0010267046,2010-12-01T00:00:00Z,
DK0010267046,2011-12-01T00:00:00Z,
DK0010267046,2012-12-01T00:00:00Z,
DK0010267046,2013-12-01T00:00:00Z,
DK0010267046,2014-12-01T00:00:00Z,118273717.9
DK0010267046,2015-12-01T00:00:00Z,95395027.28
DK0010267046,2016-12-01T00:00:00Z,111475873.5
DK0010267046,2018-12-31T00:00:00Z,112329662.6
DK0010267046,2019-12-31T00:00:00Z,124300711.6
DK0010267046,2020-12-31T00:00:00Z,25579913.13
DK0010267046,2021-12-31T00:00:00Z,36589474.87
DK0010287663,2000-12-31T00:00:00Z,-79338214.92
DK0010287663,2001-12-31T00:00:00Z,-9983075.696
DK0010287663,2002-12-31T00:00:00Z,-117682087.3
DK0010287663,2003-12-31T00:00:00Z,21538533.6
DK0010287663,2004-12-31T00:00:00Z,34882131.12
DK0010287663,2005-12-31T00:00:00Z,79588320.93
DK0010287663,2006-12-31T00:00:00Z,127254569
DK0010287663,2007-12-31T00:00:00Z,184598548.3
DK0010287663,2008-12-31T00:00:00Z,116153743.4
DK0010287663,2009-12-31T00:00:00Z,50150126.71
DK0010287663,2010-12-31T00:00:00Z,64639144.67
DK0010287663,2011-12-31T00:00:00Z,68833993.41
DK0010287663,2012-12-31T00:00:00Z,85716918.78
DK0010287663,2013-12-31T00:00:00Z,99486450.75
DK0010287663,2014-12-31T00:00:00Z,91252933.2
DK0010287663,2015-12-31T00:00:00Z,11989212.64
DK0010287663,2016-12-31T00:00:00Z,36187167.48
DK0010287663,2017-12-31T00:00:00Z,71420557.21
DK0010287663,2018-12-31T00:00:00Z,-9444822.384
DK0010287663,2019-12-31T00:00:00Z,-79470409.66
DK0010287663,2020-12-31T00:00:00Z,-43375638.55
DK0010287663,2021-12-31T00:00:00Z,28269713.44
DK0010287663,2022-12-31T00:00:00Z,71847313.44
DK0010052786,,
DK0010155324,,
DK0010234467,2000-12-31T00:00:00Z,-1884199317
DK0010234467,2001-12-31T00:00:00Z,-1691709339
DK0010234467,2002-12-31T00:00:00Z,-1760743152
DK0010234467,2003-12-31T00:00:00Z,-2361116471
DK0010234467,2004-12-31T00:00:00Z,-1598312903
DK0010234467,2005-12-31T00:00:00Z,-1327446031
DK0010234467,2006-12-31T00:00:00Z,-1508159540
DK0010234467,2007-12-31T00:00:00Z,-2559660506
DK0010234467,2008-12-31T00:00:00Z,-3390197086
DK0010234467,2009-12-31T00:00:00Z,-2899867793
DK0010234467,2010-12-31T00:00:00Z,348149151.3
DK0010234467,2011-12-31T00:00:00Z,391646349.2
DK0010234467,2012-12-31T00:00:00Z,380538897.7
DK0010234467,2013-12-31T00:00:00Z,110995409.2
DK0010234467,2014-12-31T00:00:00Z,252895312.5
DK0010234467,2015-12-31T00:00:00Z,213314515.3
DK0010234467,2016-12-31T00:00:00Z,161006701.5
DK0010234467,2017-12-31T00:00:00Z,184013022
DK0010234467,2018-12-31T00:00:00Z,193606273.2
DK0010234467,2019-12-31T00:00:00Z,193573243.2
DK0010234467,2020-12-31T00:00:00Z,66783485.77
DK0010234467,2021-12-31T00:00:00Z,130926686.2
DK0010234467,2022-12-31T00:00:00Z,123376584.7
DK0061277894,,
DK0060655629,2000-12-31T00:00:00Z,-95779511.81
DK0060655629,2001-12-31T00:00:00Z,19333116.54
DK0060655629,2002-12-31T00:00:00Z,32947520.99
DK0060655629,2003-12-31T00:00:00Z,59293746.97
DK0060655629,2004-12-31T00:00:00Z,59281388.77
DK0060655629,2005-12-31T00:00:00Z,67401640.35
DK0060655629,2006-12-31T00:00:00Z,94780302.33
DK0060655629,2007-12-31T00:00:00Z,131707188.7
DK0060655629,2008-12-31T00:00:00Z,86779178.7
DK0060655629,2009-12-31T00:00:00Z,43428700.33
DK0060655629,2010-12-31T00:00:00Z,102733413.2
DK0060655629,2011-12-31T00:00:00Z,153599398.5
DK0060655629,2012-12-31T00:00:00Z,70866988.16
DK0060655629,2013-12-31T00:00:00Z,90586506.95
DK0060655629,2014-12-31T00:00:00Z,117896444.2
DK0060655629,2015-12-31T00:00:00Z,179966445.3
DK0060655629,2016-12-31T00:00:00Z,245761937.5
DK0060655629,2017-12-31T00:00:00Z,267403894.5
DK0060655629,2018-12-31T00:00:00Z,301293821.4
DK0060655629,2019-12-31T00:00:00Z,261796191.1
DK0060655629,2020-12-31T00:00:00Z,131422547.7
DK0060655629,2021-12-31T00:00:00Z,210787192.2
DK0060655629,2022-12-31T00:00:00Z,347040910
DK0010230986,,
DK0010008028,2000-12-31T00:00:00Z,2055106.811
DK0010008028,2001-12-31T00:00:00Z,-2566971.967
DK0010008028,2002-12-31T00:00:00Z,-532833.0209
DK0010008028,2003-12-31T00:00:00Z,1171107.673
DK0010008028,2004-12-31T00:00:00Z,2418204.947
DK0010008028,2005-12-31T00:00:00Z,200520.5484
DK0010008028,2006-12-31T00:00:00Z,3955190.106
DK0010008028,2007-12-31T00:00:00Z,4088093.528
DK0010008028,2008-12-31T00:00:00Z,3581413.673
DK0010008028,2009-12-31T00:00:00Z,144440.7305
DK0010008028,2010-12-31T00:00:00Z,-689167.7516
DK0010008028,2011-12-31T00:00:00Z,3627449.05
DK0010008028,2012-12-31T00:00:00Z,3284697.015
DK0010008028,2013-12-31T00:00:00Z,4654680.676
DK0010008028,2018-12-31T00:00:00Z,9031209.812
DK0010008028,2018-12-31T00:00:00Z,9031209.812
DK0010008028,2019-12-31T00:00:00Z,-4106421.698
DK0010008028,2020-12-31T00:00:00Z,-452626.6065
DK0010008028,2021-12-31T00:00:00Z,-396120.8366
DK0010025113,2000-12-31T00:00:00Z,735844.8227
DK0010025113,2001-12-31T00:00:00Z,1459813.455
DK0010025113,2002-12-31T00:00:00Z,834525.5225
DK0010025113,2003-12-31T00:00:00Z,4489474.721
DK0010025113,2004-12-31T00:00:00Z,-216613204
DK0010025113,2005-12-31T00:00:00Z,7517682.462
DK0010025113,2006-12-31T00:00:00Z,8295298.793
DK0010025113,2007-12-31T00:00:00Z,21976816.19
DK0010025113,2008-12-31T00:00:00Z,21954979.47
DK0010025113,2009-12-31T00:00:00Z,-348283695.1
DK0010025113,2010-12-31T00:00:00Z,-9050630.087
DK0010025113,2011-12-31T00:00:00Z,2341091.757
DK0010025113,2012-12-31T00:00:00Z,9853226.971
DK0010025113,2013-12-31T00:00:00Z,9102692.533
DK0010025113,2014-12-31T00:00:00Z,12160896.16
DK0010025113,2015-12-31T00:00:00Z,6002727.028
DK0010025113,2016-12-31T00:00:00Z,1441329.613
DK0010025113,2017-12-31T00:00:00Z,23618246.12
DK0010025113,2018-12-31T00:00:00Z,17236820.37
DK0010025113,2019-12-31T00:00:00Z,12382839.89
DK0010025113,2020-12-31T00:00:00Z,10618421.06
DK0010025113,2021-12-31T00:00:00Z,2330431.38
