Instrument,Company Common Name,Date,Short-Term Debt & Current Portion of Long-Term Debt,Debt - Non-Convertible - Long-Term,Capitalized Lease Obligations - Long-Term,Current Portion of Long-Term Debt excl Capitalized Leases,Capitalized Leases - Current Portion,NAICS Sector Code,NAICS Sector Name,NAICS Subsector Code,NAICS Subsector Name,NAICS National Industry Code,NAICS National Industry Name,NAICS Industry Group Code,NAICS Industry Group Name,Country of Exchange,Exchange Name,Total Debt Percentage of Total Equity,Debt - Long-Term - Total,Debt - Total,"WACC Cost of Debt, (%)"
DK0060534915,Novo Nordisk A/S,1989-12-31T00:00:00Z,,,,,,31-33,Manufacturing,325,Chemical Manufacturing,325412,Pharmaceutical Preparation Manufacturing,3254,Pharmaceutical and Medicine Manufacturing,Denmark,NASDAQ COPENHAGEN A/S,,,,
DK0060534915,,1990-12-31T00:00:00Z,,,,,,,,,,,,,,,,,,,
DK0060534915,,1991-12-31T00:00:00Z,,,,,,,,,,,,,,,,,,,
DK0060534915,,1992-12-31T00:00:00Z,,,,,,,,,,,,,,,,,,,
DK0060534915,,1993-12-31T00:00:00Z,957000000.0,3333000000.0,,,,,,,,,,,,,,36.00504,3333000000.0,4290000000.0,
DK0060534915,,1994-12-31T00:00:00Z,1447000000.0,3109000000.0,,,,,,,,,,,,,,34.68067,3109000000.0,4556000000.0,
DK0060534915,,1995-12-31T00:00:00Z,1451000000.0,1322000000.0,,,,,,,,,,,,,,19.21558,1322000000.0,2773000000.0,
DK0060534915,,1996-12-31T00:00:00Z,1349000000.0,944000000.0,,,,,,,,,,,,,,14.34021,944000000.0,2293000000.0,
DK0060534915,,1997-12-31T00:00:00Z,1336000000.0,1758000000.0,,,,,,,,,,,,,,16.91172,1758000000.0,3094000000.0,
DK0060534915,,1998-12-31T00:00:00Z,923000000.0,1835000000.0,,,,,,,,,,,,,,15.29079,1835000000.0,2758000000.0,
DK0060534915,,1999-12-31T00:00:00Z,1032000000.0,1007000000.0,,,,,,,,,,,,,,13.42772,1007000000.0,2039000000.0,
DK0060534915,,2000-12-31T00:00:00Z,860000000.0,950000000.0,,,,,,,,,,,,,,11.50083,950000000.0,1810000000.0,
DK0060534915,,2001-12-31T00:00:00Z,833000000.0,863000000.0,,,,,,,,,,,,,,8.42231,863000000.0,1696000000.0,
DK0060534915,,2002-12-31T00:00:00Z,,,,,,,,,,,,,,,,,,,
DK0060534915,,2003-12-31T00:00:00Z,975000000.0,753000000.0,,,,,,,,,,,,,,6.94338,753000000.0,1728000000.0,
DK0060534915,,2004-12-31T00:00:00Z,507000000.0,1188000000.0,,,,,,,,,,,,,,6.39526,1188000000.0,1695000000.0,
DK0060534915,,2005-12-31T00:00:00Z,845000000.0,1248000000.0,,,,,,,,,,,,,,7.574,1248000000.0,2093000000.0,
DK0060534915,,2006-12-31T00:00:00Z,297000000.0,1174000000.0,,,,,,,,,,,,,,4.88347,1174000000.0,1471000000.0,
DK0060534915,,2007-12-31T00:00:00Z,360000000.0,961000000.0,,,,,,,,,,,,,,4.10478,961000000.0,1321000000.0,
