Instrument,Date,Revenue - Mean,Dividend Per Share - Mean,Cash & Short Term Investments,PPE - Net Percentage of Total Assets,"PPE - Net - Total, YoY Avg",Cost Of Goods Sold - Mean,Depreciation Depletion & Amortization - Total,CAPEX Percentage of Total Assets,Selling General & Administrative Expenses - Total
DK0060534915,2000-12-31T00:00:00Z,24188610000,0.28026,1278000000,60.40752,,,2076000000,8.054114097,11522000000
DK0060534915,2001-12-31T00:00:00Z,26180903600,0.35558,1660000000,64.50795,,,2162000000,12.11153561,13050000000
DK0060534915,2002-12-31T00:00:00Z,27395499200,0.38791,,,,,2586000000,9.930281456,13099000000
DK0060534915,2003-12-31T00:00:00Z,28325679150,0.41979,1262000000,51.20958,,,3238000000,6.434578777,13839000000
DK0060534915,2004-12-31T00:00:00Z,31703607080,0.48761,3433000000,46.90781,16950500000,,1892000000,9.953132886,14576000000
DK0060534915,2005-12-31T00:00:00Z,37188175970,0.61313,3303000000,49.50906,18750000000,,3860000000,10.48707065,16898000000
DK0060534915,2006-12-31T00:00:00Z,42771357180,0.74991,3270000000,44.16356,20145500000,,4284000000,7.648232052,20311000000
DK0060534915,2007-12-31T00:00:00Z,46074970230,0.94138,4823000000,41.07394,19977500000,,6014000000,5.244838396,22092000000
DK0060534915,2008-12-31T00:00:00Z,51996180090,1.15327,8781000000,36.83378,19122000000,,4884000000,4.140988875,23032000000
DK0060534915,2009-12-31T00:00:00Z,54777566790,1.59132,11296000000,35.12111,18932500000,,5102000000,5.818975746,26702000000
DK0060534915,2010-12-31T00:00:00Z,66551202420,2.30743,12017000000,33.39793,19866500000,,4934000000,6.710635074,31661000000
DK0060534915,2011-12-31T00:00:00Z,73021088490,2.80361,17502000000,32.35185,20719000000,,2784000000,5.284694687,32786000000
DK0060534915,2012-12-31T00:00:00Z,85681202830,4.10167,16105000000,0.7218,21235000000,,2573000000,5.556620924,37434000000
DK0060534915,2013-12-31T00:00:00Z,90219084770,4.81031,14469000000,31.11023,21710500000,14643375000,2655000000,5.358587121,40162000000
DK0060534915,2014-12-31T00:00:00Z,1.01424E+11,5.59886,15905000000,30.02258,22509000000,15820166670,2796000000,5.881993772,41614000000
DK0060534915,2015-12-31T00:00:00Z,1.16834E+11,7.25228,20465000000,27.8271,24340500000,17338145460,2619000000,7.587305535,46077000000
DK0060534915,2016-12-31T00:00:00Z,1.17028E+11,7.69055,20699000000,30.94044,27862000000,18347272730,2651000000,8.73253124,46773000000
DK0060534915,2017-12-31T00:00:00Z,1.1353E+11,8.27397,18852000000,34.43603,32713000000,18670909090,2870000000,8.652585871,46237000000
DK0060534915,2018-12-31T00:00:00Z,1.17437E+11,8.40315,15638000000,37.81834,38569000000,19324714290,3809000000,11.64580244,48501000000
